no GPIO library found
Info: input file: optical-reader-dec23-21-v3a.7ch, type: 7ch, basename: optical-reader-dec23-21-v3a
Info: FileName: optical-reader-dec23-21-v3a.7ch
Info: block_array contains 46 elements
Warning: suspicious WW block length: count=18432(d), actual block length=895(d)
Warning: 556 Decode overwriting core location 0o2257: was 0o171006, changed to 0o112454
Warning: 556 Decode overwriting core location 0o2260: was 0o71205, changed to 0o46323
Warning: 556 Decode overwriting core location 0o2261: was 0o171001, changed to 0o132275
Warning: 556 Decode overwriting core location 0o2262: was 0o71214, changed to 0o132275
Warning: 556 Decode overwriting core location 0o2263: was 0o75176, changed to 0o100000
Warning: 556 Decode overwriting core location 0o2264: was 0o171001, changed to 0o42276
Warning: 556 Decode overwriting core location 0o2265: was 0o71176, changed to 0o102277
Warning: 556 Decode overwriting core location 0o2266: was 0o171001, changed to 0o112453
Warning: 556 Decode overwriting core location 0o2267: was 0o71176, changed to 0o46335
Warning: 556 Decode overwriting core location 0o2270: was 0o100022, changed to 0o46340
Warning: 556 Decode overwriting core location 0o2271: was 0o71223, changed to 0o116456
Warning: 556 Decode overwriting core location 0o2272: was 0o75176, changed to 0o46334
Warning: 556 Decode overwriting core location 0o2273: was 0o101331, changed to 0o102275
Warning: 556 Decode overwriting core location 0o2274: was 0o171006, changed to 0o40000
Warning: 556 Decode overwriting core location 0o2275: was 0o71176, changed to 0o100000
Warning: 556 Decode overwriting core location 0o2276: was 0o171001, changed to 0o176472
Warning: 556 Decode overwriting core location 0o2277: was 0o71223, changed to 0o112276
Warning: 556 Decode overwriting core location 0o2300: was 0o171001, changed to 0o40000
Warning: 556 Decode overwriting core location 0o2301: was 0o71176, changed to 0o74000
Warning: 556 Decode overwriting core location 0o2302: was 0o102476, changed to 0o102474
Warning: 556 Decode overwriting core location 0o2303: was 0o174012, changed to 0o42275
Warning: 556 Decode overwriting core location 0o2304: was 0o41330, changed to 0o102452
Warning: 556 Decode overwriting core location 0o2305: was 0o115307, changed to 0o76311
Warning: 556 Decode overwriting core location 0o2306: was 0o134000, changed to 0o134000
Warning: 556 Decode overwriting core location 0o2307: was 0o71240, changed to 0o72352
Warning: 556 Decode overwriting core location 0o2310: was 0o100016, changed to 0o102441
Warning: 556 Decode overwriting core location 0o2311: was 0o171014, changed to 0o76324
Warning: 556 Decode overwriting core location 0o2312: was 0o72551, changed to 0o100022
Warning: 556 Decode overwriting core location 0o2313: was 0o101330, changed to 0o176436
Warning: 556 Decode overwriting core location 0o2314: was 0o134000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2315: was 0o71240, changed to 0o112457
Warning: 556 Decode overwriting core location 0o2316: was 0o75176, changed to 0o46323
Warning: 556 Decode overwriting core location 0o2317: was 0o100012, changed to 0o76322
Warning: 556 Decode overwriting core location 0o2320: was 0o171002, changed to 0o52341
Warning: 556 Decode overwriting core location 0o2321: was 0o71244, changed to 0o100003
Warning: 556 Decode overwriting core location 0o2322: was 0o75176, changed to 0o42277
Warning: 556 Decode overwriting core location 0o2323: was 0o171007, changed to 0o102473
Warning: 556 Decode overwriting core location 0o2324: was 0o70450, changed to 0o42275
Warning: 556 Decode overwriting core location 0o2325: was 0o171034, changed to 0o100012
Warning: 556 Decode overwriting core location 0o2326: was 0o71054, changed to 0o171006
Warning: 556 Decode overwriting core location 0o2327: was 0o100000, changed to 0o72400
Warning: 556 Decode overwriting core location 0o2330: was 0o41336, changed to 0o171001
Warning: 556 Decode overwriting core location 0o2331: was 0o100016, changed to 0o72402
Warning: 556 Decode overwriting core location 0o2332: was 0o171014, changed to 0o171001
Warning: 556 Decode overwriting core location 0o2333: was 0o71273, changed to 0o72404
Warning: 556 Decode overwriting core location 0o2334: was 0o102425, changed to 0o102455
Warning: 556 Decode overwriting core location 0o2335: was 0o45260, changed to 0o46415
Warning: 556 Decode overwriting core location 0o2336: was 0o44251, changed to 0o102452
Warning: 556 Decode overwriting core location 0o2337: was 0o100000, changed to 0o76410
Warning: 556 Decode overwriting core location 0o2340: was 0o41337, changed to 0o102437
Warning: 556 Decode overwriting core location 0o2341: was 0o101337, changed to 0o76324
Warning: 556 Decode overwriting core location 0o2342: was 0o45264, changed to 0o102440
Warning: 556 Decode overwriting core location 0o2343: was 0o171000, changed to 0o76324
Warning: 556 Decode overwriting core location 0o2344: was 0o70421, changed to 0o132275
Warning: 556 Decode overwriting core location 0o2345: was 0o101337, changed to 0o102454
Warning: 556 Decode overwriting core location 0o2346: was 0o176436, changed to 0o46415
Warning: 556 Decode overwriting core location 0o2347: was 0o112435, changed to 0o102451
Warning: 556 Decode overwriting core location 0o2350: was 0o44250, changed to 0o42354
Warning: 556 Decode overwriting core location 0o2351: was 0o74247, changed to 0o100012
Warning: 556 Decode overwriting core location 0o2352: was 0o102426, changed to 0o171011
Warning: 556 Decode overwriting core location 0o2353: was 0o75256, changed to 0o72417
Warning: 556 Decode overwriting core location 0o2354: was 0o101330, changed to 0o132275
Warning: 556 Decode overwriting core location 0o2355: was 0o115312, changed to 0o100000
Warning: 556 Decode overwriting core location 0o2356: was 0o75235, changed to 0o76324
Warning: 556 Decode overwriting core location 0o2357: was 0o147400, changed to 0o100012
Warning: 556 Decode overwriting core location 0o2360: was 0o100200, changed to 0o76353
Warning: 556 Decode overwriting core location 0o2361: was 0o20, changed to 0o1630
Warning: 556 Decode overwriting core location 0o2362: was 0o2000, changed to 0o1710
Warning: 556 Decode overwriting core location 0o2363: was 0o102260, changed to 0o2130
Warning: 556 Decode overwriting core location 0o2364: was 0o42251, changed to 0o2210
Warning: 556 Decode overwriting core location 0o2365: was 0o3, changed to 0o2247
Warning: 556 Decode overwriting core location 0o2366: was 0o1000, changed to 0o2250
Warning: 556 Decode overwriting core location 0o2367: was 0o16000, changed to 0o177600
Warning: 556 Decode overwriting core location 0o2370: was 0o40, changed to 0o100000
Warning: 556 Decode overwriting core location 0o2371: was 0o200, changed to 0o40000
Warning: 556 Decode overwriting core location 0o2372: was 0o1314, changed to 0o20000
Warning: 556 Decode overwriting core location 0o2373: was 0o177577, changed to 0o10000
Warning: 556 Decode overwriting core location 0o2374: was 0o46100, changed to 0o4000
Warning: 556 Decode overwriting core location 0o2375: was 0o1100, changed to 0o2430
Warning: 556 Decode overwriting core location 0o2376: was 0o0, changed to 0o7
Warning: 556 Decode overwriting core location 0o2377: was 0o0, changed to 0o160
Warning: 556 Decode overwriting core location 0o2400: was 0o0, changed to 0o137
Warning: 556 Decode overwriting core location 0o2401: was 0o0, changed to 0o150
Warning: 556 Decode overwriting core location 0o2402: was 0o0, changed to 0o10
Warning: 556 Decode overwriting core location 0o2403: was 0o0, changed to 0o50
Warning: 556 Decode overwriting core location 0o2404: was 0o0, changed to 0o174
Warning: 556 Decode overwriting core location 0o2405: was 0o0, changed to 0o154
Warning: 556 Decode overwriting core location 0o2406: was 0o0, changed to 0o170
Warning: 556 Decode overwriting core location 0o2407: was 0o0, changed to 0o60
Warning: 556 Decode overwriting core location 0o2410: was 0o0, changed to 0o67
Warning: 556 Decode overwriting core location 0o2411: was 0o0, changed to 0o112477
Warning: 556 Decode overwriting core location 0o2412: was 0o0, changed to 0o114001
Warning: 556 Decode overwriting core location 0o2413: was 0o0, changed to 0o1530
Warning: 556 Decode overwriting core location 0o2414: was 0o0, changed to 0o2443
Warning: 556 Decode overwriting core location 0o2415: was 0o0, changed to 0o2442
Warning: 556 Decode overwriting core location 0o2416: was 0o0, changed to 0o100
Warning: 556 Decode overwriting core location 0o2417: was 0o0, changed to 0o2460
Warning: 556 Decode overwriting core location 0o2420: was 0o0, changed to 0o167
Warning: 556 Decode overwriting core location 0o2421: was 0o0, changed to 0o21
Warning: 556 Decode overwriting core location 0o2422: was 0o0, changed to 0o153
Warning: 556 Decode overwriting core location 0o2423: was 0o0, changed to 0o73
Warning: 556 Decode overwriting core location 0o2424: was 0o0, changed to 0o35
Warning: 556 Decode overwriting core location 0o2425: was 0o0, changed to 0o76
Warning: 556 Decode overwriting core location 0o2426: was 0o0, changed to 0o176
Warning: 556 Decode overwriting core location 0o2427: was 0o0, changed to 0o23
Warning: 556 Decode overwriting core location 0o2430: was 0o0, changed to 0o177
Warning: 556 Decode overwriting core location 0o2431: was 0o0, changed to 0o77
Warning: 556 Decode overwriting core location 0o2432: was 0o0, changed to 0o77400
Warning: 556 Decode overwriting core location 0o2433: was 0o0, changed to 0o602
Warning: 556 Decode overwriting core location 0o2434: was 0o0, changed to 0o605
Warning: 556 Decode overwriting core location 0o2435: was 0o0, changed to 0o610
Warning: 556 Decode overwriting core location 0o2436: was 0o0, changed to 0o1600
Warning: 556 Decode overwriting core location 0o2437: was 0o0, changed to 0o4
Warning: 556 Decode overwriting core location 0o2440: was 0o0, changed to 0o52527
Warning: 556 Decode overwriting core location 0o2441: was 0o0, changed to 0o102436
Warning: 556 Decode overwriting core location 0o2442: was 0o0, changed to 0o174016
Warning: 556 Decode overwriting core location 0o2443: was 0o0, changed to 0o41336
Warning: 556 Decode overwriting core location 0o2444: was 0o0, changed to 0o101337
Warning: 556 Decode overwriting core location 0o2445: was 0o0, changed to 0o112421
Warning: 556 Decode overwriting core location 0o2446: was 0o0, changed to 0o46515
Warning: 556 Decode overwriting core location 0o2447: was 0o0, changed to 0o46526
Warning: 556 Decode overwriting core location 0o2450: was 0o0, changed to 0o101337
Warning: 556 Decode overwriting core location 0o2451: was 0o0, changed to 0o112423
Warning: 556 Decode overwriting core location 0o2452: was 0o0, changed to 0o46513
Warning: 556 Decode overwriting core location 0o2453: was 0o0, changed to 0o100000
Warning: 556 Decode overwriting core location 0o2454: was 0o0, changed to 0o41335
Warning: 556 Decode overwriting core location 0o2455: was 0o0, changed to 0o100000
Warning: 556 Decode overwriting core location 0o2456: was 0o0, changed to 0o41334
Warning: 556 Decode overwriting core location 0o2457: was 0o0, changed to 0o171012
Warning: 556 Decode overwriting core location 0o2460: was 0o0, changed to 0o72530
Warning: 556 Decode overwriting core location 0o2461: was 0o0, changed to 0o101334
